Vernier Format 2
run9.txt 10/10/2025 15:7:33
Run 1
Time	Position	Position	Velocity	Acceleration	Velocity	Acceleration	
T	P	P	V	A	V	A	
s	m	m	m/s	m/s^2	m/s	m/s^2	

0.00	0.222	0.246	0.010	0.233	0.038	0.052	
0.05	0.222	0.248	0.020	0.271	0.039	0.080	
0.10	0.223	0.250	0.036	0.314	0.044	0.109	
0.15	0.226	0.252	0.053	0.335	0.052	0.108	
0.20	0.229	0.255	0.071	0.319	0.057	0.072	
0.25	0.233	0.258	0.086	0.273	0.059	0.031	
0.30	0.237	0.261	0.098	0.221	0.059	0.007	
0.35	0.243	0.264	0.108	0.175	0.060	-0.013	
0.40	0.248	0.267	0.116	0.127	0.059	-0.051	
0.45	0.254	0.270	0.121	0.065	0.055	-0.099	
0.50	0.261	0.273	0.122	-0.003	0.048	-0.133	
0.55	0.267	0.275	0.121	-0.062	0.040	-0.145	
0.60	0.273	0.277	0.116	-0.114	0.034	-0.169	
0.65	0.278	0.278	0.109	-0.162	0.025	-0.207	
0.70	0.284	0.279	0.100	-0.216	0.013	-0.227	
0.75	0.288	0.280	0.088	-0.274	0.001	-0.230	
0.80	0.293	0.279	0.072	-0.323	-0.011	-0.218	
0.85	0.296	0.278	0.054	-0.343	-0.021	-0.190	
0.90	0.298	0.277	0.037	-0.339	-0.030	-0.170	
0.95	0.299	0.275	0.021	-0.348	-0.038	-0.148	
1.00	0.300	0.273	0.003	-0.365	-0.045	-0.122	
1.05	0.300	0.271	-0.017	-0.364	-0.051	-0.093	
1.10	0.298	0.268	-0.035	-0.339	-0.055	-0.054	
1.15	0.296	0.265	-0.051	-0.305	-0.055	-0.036	
1.20	0.293	0.263	-0.065	-0.277	-0.058	-0.024	
1.25	0.290	0.259	-0.078	-0.250	-0.059	0.010	
1.30	0.285	0.257	-0.090	-0.218	-0.057	0.054	
1.35	0.281	0.254	-0.100	-0.176	-0.053	0.089	
1.40	0.275	0.251	-0.108	-0.122	-0.047	0.107	
1.45	0.270	0.249	-0.113	-0.058	-0.043	0.130	
1.50	0.264	0.247	-0.114	0.003	-0.034	0.156	
1.55	0.258	0.246	-0.112	0.056	-0.026	0.168	
1.60	0.252	0.244	-0.109	0.109	-0.018	0.186	
1.65	0.247	0.244	-0.102	0.162	-0.008	0.208	
1.70	0.242	0.244	-0.092	0.209	0.003	0.219	
1.75	0.238	0.244	-0.080	0.246	0.015	0.213	
1.80	0.234	0.245	-0.067	0.285	0.025	0.196	
1.85	0.231	0.247	-0.052	0.324	0.034	0.181	
1.90	0.229	0.249	-0.034	0.348	0.043	0.167	
1.95	0.228	0.251	-0.016	0.351	0.052	0.137	
2.00	0.227	0.254	0.001	0.348	0.057	0.092	
2.05	0.228	0.257	0.019	0.342	0.061	0.045	
2.10	0.229	0.260	0.036	0.316	0.062	0.001	
2.15	0.231	0.263	0.050	0.289	0.060	-0.029	
2.20	0.234	0.266	0.065	0.263	0.058	-0.043	
2.25	0.238	0.269	0.077	0.222	0.056	-0.061	
2.30	0.242	0.272	0.087	0.177	0.053	-0.090	
2.35	0.247	0.274	0.095	0.132	0.048	-0.132	
2.40	0.252	0.277	0.100	0.082	0.039	-0.167	
2.45	0.257	0.278	0.103	0.029	0.030	-0.178	
2.50	0.262	0.280	0.103	-0.029	0.021	-0.183	
2.55	0.267	0.280	0.100	-0.083	0.011	-0.184	
2.60	0.272	0.281	0.095	-0.133	0.003	-0.187	
2.65	0.277	0.281	0.087	-0.176	-0.006	-0.202	
2.70	0.281	0.280	0.077	-0.210	-0.018	-0.202	
2.75	0.285	0.279	0.066	-0.242	-0.028	-0.177	
2.80	0.288	0.277	0.053	-0.271	-0.036	-0.150	
2.85	0.290	0.275	0.038	-0.285	-0.043	-0.129	
2.90	0.291	0.273	0.024	-0.290	-0.048	-0.112	
2.95	0.292	0.270	0.009	-0.291	-0.054	-0.084	
3.00	0.292	0.267	-0.005	-0.287	-0.057	-0.053	
3.05	0.292	0.265	-0.020	-0.278	-0.059	-0.034	
3.10	0.290	0.261	-0.034	-0.258	-0.062	0.005	
3.15	0.288	0.258	-0.046	-0.232	-0.058	0.040	
3.20	0.286	0.256	-0.057	-0.201	-0.056	0.059	
3.25	0.282	0.253	-0.066	-0.167	-0.054	0.102	
3.30	0.279	0.250	-0.074	-0.139	-0.046	0.144	
3.35	0.275	0.248	-0.080	-0.112	-0.038	0.167	
3.40	0.271	0.246	-0.085	-0.077	-0.030	0.188	
3.45	0.267	0.245	-0.088	-0.032	-0.020	0.213	
3.50	0.262	0.244	-0.089	0.026	-0.008	0.218	
3.55	0.257	0.244	-0.085	0.077	0.003	0.204	
3.60	0.253	0.245	-0.080	0.113	0.013	0.185	
3.65	0.249	0.246	-0.074	0.147	0.021	0.171	
3.70	0.246	0.247	-0.065	0.174	0.030	0.158	
3.75	0.243	0.249	-0.056	0.193	0.037	0.139	
3.80	0.240	0.250	-0.046	0.218	0.043	0.129	
3.85	0.238	0.253	-0.034	0.233	0.050	0.110	
3.90	0.237	0.256	-0.023	0.246	0.055	0.081	
3.95	0.236	0.258	-0.010	0.272	0.059	0.040	
4.00	0.236	0.262	0.005	0.276	0.059	0.002	
4.05	0.236	0.264	0.018	0.255	0.058	-0.016	
4.10	0.238	0.268	0.031	0.231	0.057	-0.042	
4.15	0.239	0.270	0.042	0.201	0.055	-0.076	
4.20	0.242	0.273	0.051	0.172	0.051	-0.122	
4.25	0.245	0.275	0.059	0.149	0.042	-0.155	
4.30	0.248	0.277	0.066	0.124	0.033	-0.159	
4.35	0.251	0.279	0.071	0.091	0.026	-0.167	
4.40	0.255	0.280	0.075	0.056	0.017	-0.182	
4.45	0.259	0.280	0.077	0.012	0.008	-0.198	
4.50	0.263	0.281	0.076	-0.032	-0.002	-0.213	
4.55	0.267	0.280	0.074	-0.066	-0.014	-0.209	
4.60	0.270	0.279	0.070	-0.097	-0.024	-0.191	
4.65	0.274	0.278	0.064	-0.130	-0.033	-0.169	
4.70	0.277	0.276	0.056	-0.157	-0.041	-0.145	
4.75	0.279	0.274	0.048	-0.174	-0.048	-0.122	
4.80	0.281	0.271	0.039	-0.186	-0.054	-0.089	
4.85	0.283	0.268	0.029	-0.189	-0.057	-0.051	
4.90	0.284	0.265	0.019	-0.178	-0.058	-0.027	
4.95	0.285	0.262	0.011	-0.158	-0.059	-0.022	
5.00	0.285	0.259	0.004	-0.140	-0.060	-0.025	
