Vernier Format 2
run6.txt 10/10/2025 15:5:17
Run 1
Time	Position	Position	Velocity	Acceleration	Velocity	Acceleration	
T	P	P	V	A	V	A	
s	m	m	m/s	m/s^2	m/s	m/s^2	

0.00	0.257	0.266	0.099	0.034	0.068	-0.106	
0.05	0.262	0.269	0.102	-0.002	0.062	-0.109	
0.10	0.267	0.272	0.102	-0.058	0.057	-0.122	
0.15	0.272	0.275	0.097	-0.123	0.051	-0.149	
0.20	0.277	0.277	0.089	-0.173	0.042	-0.178	
0.25	0.281	0.280	0.079	-0.209	0.033	-0.204	
0.30	0.285	0.281	0.068	-0.243	0.021	-0.214	
0.35	0.288	0.282	0.055	-0.279	0.011	-0.210	
0.40	0.290	0.282	0.039	-0.293	0.001	-0.213	
0.45	0.292	0.282	0.024	-0.279	-0.010	-0.224	
0.50	0.293	0.281	0.012	-0.280	-0.023	-0.209	
0.55	0.293	0.279	-0.003	-0.293	-0.031	-0.182	
0.60	0.292	0.278	-0.018	-0.289	-0.040	-0.169	
0.65	0.291	0.275	-0.033	-0.275	-0.049	-0.140	
0.70	0.289	0.273	-0.047	-0.246	-0.054	-0.107	
0.75	0.286	0.270	-0.058	-0.211	-0.059	-0.091	
0.80	0.283	0.267	-0.067	-0.185	-0.064	-0.071	
0.85	0.280	0.263	-0.076	-0.158	-0.068	-0.023	
0.90	0.275	0.260	-0.083	-0.122	-0.067	0.040	
0.95	0.271	0.257	-0.089	-0.085	-0.062	0.073	
1.00	0.267	0.254	-0.092	-0.042	-0.059	0.093	
1.05	0.262	0.251	-0.093	0.006	-0.053	0.126	
1.10	0.257	0.248	-0.091	0.060	-0.046	0.151	
1.15	0.253	0.246	-0.087	0.112	-0.038	0.177	
1.20	0.248	0.244	-0.080	0.165	-0.029	0.218	
1.25	0.244	0.243	-0.070	0.207	-0.016	0.243	
1.30	0.241	0.243	-0.059	0.229	-0.003	0.236	
1.35	0.239	0.243	-0.047	0.249	0.008	0.224	
1.40	0.236	0.244	-0.034	0.271	0.020	0.209	
1.45	0.235	0.245	-0.020	0.287	0.029	0.186	
1.50	0.234	0.246	-0.004	0.286	0.038	0.162	
1.55	0.235	0.249	0.010	0.272	0.045	0.141	
1.60	0.235	0.251	0.022	0.267	0.052	0.126	
1.65	0.237	0.254	0.036	0.256	0.059	0.088	
1.70	0.239	0.257	0.049	0.227	0.061	0.049	
1.75	0.242	0.260	0.059	0.201	0.063	0.021	
1.80	0.245	0.263	0.069	0.171	0.064	-0.019	
1.85	0.249	0.267	0.076	0.131	0.061	-0.057	
1.90	0.253	0.270	0.082	0.090	0.057	-0.079	
1.95	0.257	0.272	0.086	0.041	0.053	-0.100	
2.00	0.262	0.275	0.086	-0.012	0.048	-0.138	
2.05	0.266	0.277	0.084	-0.056	0.040	-0.184	
2.10	0.270	0.279	0.081	-0.098	0.028	-0.204	
2.15	0.274	0.280	0.074	-0.140	0.018	-0.197	
2.20	0.277	0.281	0.066	-0.164	0.009	-0.193	
2.25	0.281	0.281	0.058	-0.183	-0.002	-0.188	
2.30	0.283	0.280	0.048	-0.211	-0.010	-0.189	
2.35	0.286	0.280	0.036	-0.233	-0.019	-0.209	
2.40	0.287	0.279	0.024	-0.242	-0.032	-0.197	
2.45	0.288	0.277	0.012	-0.254	-0.041	-0.147	
2.50	0.288	0.274	-0.001	-0.260	-0.046	-0.106	
2.55	0.288	0.272	-0.014	-0.247	-0.050	-0.091	
2.60	0.287	0.269	-0.026	-0.234	-0.055	-0.084	
2.65	0.285	0.267	-0.038	-0.225	-0.059	-0.065	
2.70	0.283	0.263	-0.048	-0.211	-0.062	-0.028	
2.75	0.280	0.260	-0.060	-0.175	-0.062	0.015	
2.80	0.277	0.257	-0.067	-0.119	-0.060	0.049	
2.85	0.274	0.254	-0.071	-0.078	-0.057	0.079	
2.90	0.270	0.251	-0.074	-0.047	-0.052	0.115	
2.95	0.266	0.249	-0.075	-0.016	-0.046	0.150	
3.00	0.262	0.247	-0.076	0.018	-0.038	0.185	
3.05	0.258	0.245	-0.074	0.062	-0.026	0.202	
3.10	0.255	0.244	-0.070	0.101	-0.016	0.197	
3.15	0.251	0.243	-0.063	0.127	-0.007	0.199	
3.20	0.248	0.243	-0.057	0.148	0.003	0.209	
3.25	0.246	0.244	-0.050	0.181	0.014	0.211	
3.30	0.243	0.245	-0.039	0.218	0.024	0.205	
3.35	0.242	0.246	-0.026	0.230	0.036	0.177	
3.40	0.241	0.248	-0.015	0.228	0.043	0.141	
3.45	0.240	0.250	-0.004	0.226	0.049	0.122	
3.50	0.240	0.253	0.007	0.223	0.055	0.098	
3.55	0.241	0.256	0.019	0.217	0.059	0.068	
3.60	0.242	0.259	0.030	0.197	0.062	0.031	
3.65	0.244	0.262	0.038	0.176	0.063	-0.020	
3.70	0.246	0.265	0.047	0.151	0.059	-0.045	
3.75	0.249	0.268	0.054	0.112	0.057	-0.058	
3.80	0.252	0.271	0.058	0.086	0.054	-0.093	
3.85	0.254	0.274	0.062	0.075	0.048	-0.118	
3.90	0.258	0.276	0.066	0.041	0.042	-0.137	
3.95	0.261	0.278	0.067	-0.003	0.035	-0.172	
4.00	0.264	0.280	0.066	-0.044	0.025	-0.203	
4.05	0.268	0.281	0.062	-0.084	0.014	-0.215	
4.10	0.271	0.281	0.057	-0.109	0.002	-0.197	
4.15	0.274	0.281	0.051	-0.125	-0.006	-0.175	
4.20	0.276	0.280	0.044	-0.141	-0.014	-0.183	
4.25	0.278	0.279	0.037	-0.161	-0.024	-0.197	
4.30	0.280	0.278	0.028	-0.184	-0.035	-0.181	
4.35	0.281	0.276	0.018	-0.199	-0.044	-0.138	
4.40	0.282	0.273	0.008	-0.198	-0.048	-0.103	
4.45	0.282	0.271	-0.002	-0.188	-0.053	-0.095	
4.50	0.281	0.268	-0.011	-0.183	-0.058	-0.077	
4.55	0.281	0.265	-0.020	-0.174	-0.061	-0.043	
4.60	0.279	0.262	-0.029	-0.157	-0.063	-0.004	
4.65	0.278	0.259	-0.036	-0.137	-0.062	0.039	
4.70	0.276	0.256	-0.042	-0.115	-0.058	0.071	
4.75	0.273	0.253	-0.047	-0.090	-0.054	0.086	
4.80	0.271	0.250	-0.051	-0.066	-0.050	0.108	
4.85	0.268	0.248	-0.054	-0.040	-0.044	0.138	
4.90	0.265	0.246	-0.056	-0.010	-0.036	0.156	
4.95	0.263	0.244	-0.055	0.012	-0.027	0.159	
5.00	0.260	0.243	-0.053	0.026	-0.020	0.157	
